PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;2266;3210;-2;1;0
0;2;0;0;2266;2084;-2;2;1
0;3;0;0;750;2084;-2;3;2
0;4;0;0;750;1957;35;4;3
0;5;0;1957;750;127;-1;4;3
0;6;750;0;743;2084;7;3;2
0;7;1493;0;750;2084;-2;3;2
0;8;1493;0;750;1957;36;4;7
0;9;1493;1957;750;127;-1;4;7
0;10;2243;0;23;2084;-1;3;2
0;11;0;2084;2266;252;-2;2;1
0;12;0;2084;1925;252;37;3;11
0;13;1925;2084;341;252;-1;3;11
0;14;0;2336;2266;874;-2;2;1
0;15;0;2336;1604;874;-2;3;14
0;16;0;2336;1604;813;28;4;15
0;17;0;3149;1604;61;-1;4;15
0;18;1604;2336;662;874;-2;3;14
0;19;1604;2336;662;852;14;4;18
0;20;1604;3188;662;22;-1;4;18
0;21;2266;0;856;3210;-2;1;0
0;22;2266;0;856;1925;-2;2;21
0;23;2266;0;824;1925;38;3;22
0;24;3090;0;32;1925;-1;3;22
0;25;2266;1925;856;1285;-2;2;21
0;26;2266;1925;836;1285;-2;3;25
0;27;2266;1925;836;1220;49;4;26
0;28;2266;3145;836;65;-1;4;26
0;29;3102;1925;20;1285;-1;3;25
0;30;3122;0;1940;3210;-2;1;0
0;31;3122;0;1940;850;-2;2;30
0;32;3122;0;1917;850;21;3;31
0;33;5039;0;23;850;-1;3;31
0;34;3122;850;1940;1723;-2;2;30
0;35;3122;850;960;1723;50;3;34
0;36;4082;850;960;1723;51;3;34
0;37;5042;850;20;1723;-1;3;34
0;38;3122;2573;1940;637;-2;2;30
0;39;3122;2573;1908;637;-2;3;38
0;40;3122;2573;1908;585;0;4;39
0;41;3122;3158;1908;52;-1;4;39
0;42;5030;2573;32;637;-1;3;38
0;43;5062;0;938;3210;-2;1;0
0;44;5062;0;938;900;-2;2;43
0;45;5062;0;918;900;1;3;44
0;46;5980;0;20;900;-1;3;44
0;47;5062;900;938;1711;-2;2;43
0;48;5062;900;900;1711;42;3;47
0;49;5962;900;38;1711;-1;3;47
0;50;5062;2611;938;599;-2;2;43
0;51;5062;2611;642;599;-2;3;50
0;52;5062;2611;642;422;22;4;51
0;53;5062;3033;642;177;-1;4;51
0;54;5704;2611;296;599;-1;3;50
1;55;0;0;6000;3210;-2;0;
1;56;0;0;824;3210;-2;1;55
1;57;0;0;824;1925;39;2;56
1;58;0;1925;824;1285;-2;2;56
1;59;0;1925;802;1285;-2;3;58
1;60;0;1925;802;1202;15;4;59
1;61;0;3127;802;83;-1;4;59
1;62;802;1925;22;1285;-1;3;58
1;63;824;0;824;3210;-2;1;55
1;64;824;0;824;1925;40;2;63
1;65;824;1925;824;1285;-2;2;63
1;66;824;1925;792;1285;-2;3;65
1;67;824;1925;792;1212;16;4;66
1;68;824;3137;792;73;-1;4;66
1;69;1616;1925;32;1285;-1;3;65
1;70;1648;0;1920;3210;-2;1;55
1;71;1648;0;1920;713;-2;2;70
1;72;1648;0;21;713;-1;3;71
1;73;1669;0;1858;713;-2;3;71
1;74;1669;0;1858;670;8;4;73
1;75;1669;670;1858;43;-1;4;73
1;76;3527;0;41;713;-1;3;71
1;77;1648;713;1920;1236;-2;2;70
1;78;1648;713;960;1236;43;3;77
1;79;2608;713;960;1236;44;3;77
1;80;1648;1949;1920;1261;-2;2;70
1;81;1648;1949;960;1261;-2;3;80
1;82;1648;1949;960;1236;45;4;81
1;83;1648;3185;960;25;-1;4;81
1;84;2608;1949;960;1261;-2;3;80
1;85;2608;1949;960;1236;46;4;84
1;86;2608;3185;960;25;-1;4;84
1;87;3568;0;776;3210;-2;1;55
1;88;3568;0;776;2396;9;2;87
1;89;3568;2396;776;814;-2;2;87
1;90;3568;2396;730;814;-2;3;89
1;91;3568;2396;730;570;23;4;90
1;92;3568;2966;730;244;-1;4;90
1;93;4298;2396;46;814;-1;3;89
1;94;4344;0;795;3210;-2;1;55
1;95;4344;0;795;743;29;2;94
1;96;4344;743;795;743;30;2;94
1;97;4344;1486;795;1724;-2;2;94
1;98;4344;1486;673;1724;17;3;97
1;99;5017;1486;122;1724;-1;3;97
1;100;5139;0;833;3210;-2;1;55
1;101;5139;0;833;742;-2;2;100
1;102;5139;0;794;742;24;3;101
1;103;5933;0;39;742;-1;3;101
1;104;5139;742;833;843;-2;2;100
1;105;5139;742;813;843;31;3;104
1;106;5952;742;20;843;-1;3;104
1;107;5139;1585;833;983;-2;2;100
1;108;5139;1585;813;983;32;3;107
1;109;5952;1585;20;983;-1;3;107
1;110;5139;2568;833;642;-2;2;100
1;111;5139;2568;805;642;-2;3;110
1;112;5139;2568;805;570;25;4;111
1;113;5139;3138;805;72;-1;4;111
1;114;5944;2568;28;642;-1;3;110
1;115;5972;0;28;3210;-1;1;55
2;116;0;0;6000;3210;-2;0;
2;117;0;0;1060;3210;-2;1;116
2;118;0;0;1060;1517;-2;2;117
2;119;0;0;87;1517;-1;3;118
2;120;87;0;950;1517;52;3;118
2;121;1037;0;23;1517;-1;3;118
2;122;0;1517;1060;1092;-2;2;117
2;123;0;1517;1040;1092;2;3;122
2;124;1040;1517;20;1092;-1;3;122
2;125;0;2609;1060;601;-2;2;117
2;126;0;2609;805;601;-2;3;125
2;127;0;2609;805;570;26;4;126
2;128;0;3179;805;31;-1;4;126
2;129;805;2609;255;601;-1;3;125
2;130;1060;0;1989;3210;-2;1;116
2;131;1060;0;1989;814;3;2;130
2;132;1060;814;1989;743;-2;2;130
2;133;1060;814;1904;743;18;3;132
2;134;2964;814;85;743;-1;3;132
2;135;1060;1557;1989;824;-2;2;130
2;136;1060;1557;1925;824;41;3;135
2;137;2985;1557;64;824;-1;3;135
2;138;1060;2381;1989;829;-2;2;130
2;139;1060;2381;1914;829;-2;3;138
2;140;1060;2381;1914;753;19;4;139
2;141;1060;3134;1914;76;-1;4;139
2;142;2974;2381;75;829;-1;3;138
2;143;3049;0;2930;3210;-2;1;116
2;144;3049;0;2930;1710;-2;2;143
2;145;3049;0;1025;1710;4;3;144
2;146;4074;0;1905;1710;5;3;144
2;147;3049;1710;2930;704;-2;2;143
2;148;3049;1710;2781;704;10;3;147
2;149;5830;1710;149;704;-1;3;147
2;150;3049;2414;2930;796;-2;2;143
2;151;3049;2414;2034;796;-2;3;150
2;152;3049;2414;2034;763;20;4;151
2;153;3049;3177;2034;33;-1;4;151
2;154;5083;2414;821;796;-2;3;150
2;155;5083;2414;821;702;27;4;154
2;156;5083;3116;821;94;-1;4;154
2;157;5904;2414;75;796;-1;3;150
2;158;5979;0;21;3210;-1;1;116
3;159;0;0;6000;3210;-2;0;
3;160;0;0;950;3210;-2;1;159
3;161;0;0;950;1517;53;2;160
3;162;0;1517;950;1693;-2;2;160
3;163;0;1517;863;1693;-2;3;162
3;164;0;1517;863;1473;11;4;163
3;165;0;2990;863;220;-1;4;163
3;166;863;1517;87;1693;-1;3;162
3;167;950;0;1755;3210;-2;1;159
3;168;950;0;1755;1014;-2;2;167
3;169;950;0;1711;1014;-2;3;168
3;170;950;0;1711;900;54;4;169
3;171;950;900;1711;114;-1;4;169
3;172;2661;0;44;1014;-1;3;168
3;173;950;1014;1755;900;-2;2;167
3;174;950;1014;1711;900;55;3;173
3;175;2661;1014;44;900;-1;3;173
3;176;950;1914;1755;1296;-2;2;167
3;177;950;1914;960;1296;-2;3;176
