PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;2792;3210;-2;1;0
0;2;0;0;2792;2103;-2;2;1
0;3;0;0;633;2103;150;3;2
0;4;633;0;633;2103;151;3;2
0;5;1266;0;752;2103;-2;3;2
0;6;1266;0;752;2061;100;4;5
0;7;1266;2061;752;42;-1;4;5
0;8;2018;0;722;2103;-2;3;2
0;9;2018;0;722;2031;101;4;8
0;10;2018;2031;722;72;-1;4;8
0;11;2740;0;52;2103;-1;3;2
0;12;0;2103;2792;1107;-2;2;1
0;13;0;2103;668;1107;-2;3;12
0;14;0;2103;668;1079;196;4;13
0;15;0;3182;668;28;-1;4;13
0;16;668;2103;822;1107;-2;3;12
0;17;668;2103;822;1031;102;4;16
0;18;668;3134;822;76;-1;4;16
0;19;1490;2103;822;1107;-2;3;12
0;20;1490;2103;822;1031;103;4;19
0;21;1490;3134;822;76;-1;4;19
0;22;2312;2103;480;1107;-2;3;12
0;23;2312;2103;480;1075;246;4;22
0;24;2312;3178;480;32;-1;4;22
0;25;2792;0;608;3210;-2;1;0
0;26;2792;0;608;1323;171;2;25
0;27;2792;1323;608;680;-2;2;25
0;28;2792;1323;569;680;271;3;27
0;29;3361;1323;39;680;-1;3;27
0;30;2792;2003;608;1207;-2;2;25
0;31;2792;2003;525;1207;-2;3;30
0;32;2792;2003;525;1153;125;4;31
0;33;2792;3156;525;54;-1;4;31
0;34;3317;2003;83;1207;-1;3;30
0;35;3400;0;822;3210;-2;1;0
0;36;3400;0;822;1031;104;2;35
0;37;3400;1031;822;20;-1;2;35
0;38;3400;1051;822;1094;152;2;35
0;39;3400;2145;822;1031;105;2;35
0;40;3400;3176;822;34;-1;2;35
0;41;4222;0;1778;3210;-2;1;0
0;42;4222;0;1778;1322;-2;2;41
0;43;4222;0;931;1322;75;3;42
0;44;5153;0;808;1322;-2;3;42
0;45;5153;0;808;1290;247;4;44
0;46;5153;1290;808;32;-1;4;44
0;47;5961;0;39;1322;-1;3;42
0;48;4222;1322;1778;1322;-2;2;41
0;49;4222;1322;931;1322;76;3;48
0;50;5153;1322;822;1322;-2;3;48
0;51;5153;1322;822;1094;153;4;50
0;52;5153;2416;822;228;-1;4;50
0;53;5975;1322;25;1322;-1;3;48
0;54;4222;2644;1778;566;-2;2;41
0;55;4222;2644;1698;566;248;3;54
0;56;5920;2644;80;566;-1;3;54
1;57;0;0;6000;3210;-2;0;
1;58;0;0;1756;3210;-2;1;57
1;59;0;0;1756;1370;-2;2;58
1;60;0;0;439;1370;126;3;59
1;61;439;0;439;1370;127;3;59
1;62;878;0;439;1370;128;3;59
1;63;1317;0;439;1370;129;3;59
1;64;0;1370;1756;566;-2;2;58
1;65;0;1370;1698;566;249;3;64
1;66;1698;1370;58;566;-1;3;64
1;67;0;1936;1756;1274;-2;2;58
1;68;0;1936;525;1274;-2;3;67
1;69;0;1936;525;1244;106;4;68
1;70;0;3180;525;30;-1;4;68
1;71;525;1936;678;1274;-2;3;67
1;72;525;1936;678;1239;172;4;71
1;73;525;3175;678;35;-1;4;71
1;74;1203;1936;525;1274;-2;3;67
1;75;1203;1936;525;1244;107;4;74
1;76;1203;3180;525;30;-1;4;74
1;77;1728;1936;28;1274;-1;3;67
1;78;1756;0;1988;3210;-2;1;57
1;79;1756;0;1988;554;-2;2;78
1;80;1756;0;1963;554;197;3;79
1;81;3719;0;25;554;-1;3;79
1;82;1756;554;1988;549;198;2;78
1;83;1756;1103;1988;549;199;2;78
1;84;1756;1652;1988;549;200;2;78
1;85;1756;2201;1988;549;201;2;78
1;86;1756;2750;1988;460;-2;2;78
1;87;1756;2750;1470;460;-2;3;86
1;88;1756;2750;1470;439;130;4;87
1;89;1756;3189;1470;21;-1;4;87
1;90;3226;2750;486;460;-2;3;86
1;91;3226;2750;486;432;154;4;90
1;92;3226;3182;486;28;-1;4;90
1;93;3712;2750;32;460;-1;3;86
1;94;3744;0;2256;3210;-2;1;57
1;95;3744;0;2256;1244;-2;2;94
